accountNumber,lastName,firstName,Age,Sex,customerMDN,Address,customerCity,customerState,customerZip,customerPlan,customerPlanDesc,userName
900000015,BOWEN,TANISHA,43,F,3444727591,8631 Hidden Knoll St.,ATLANTA,GA,30307,450POST40,450 Minute,tbowen
900000016,PACHECO,ISMAEL,26,M,9145436973,17792 Alfords Point Ave.,WASHINGTON,DC,20007,ULPRE50,Unlimited Prepaid,ipacheco
900000017,RANDALL,MONTE,33,M,7233512826,2956 Rocky Meadow Ave.,BLOOMINGTON,IL,61709,ULPRE50,Unlimited Prepaid,mrandall
900000018,SHANNON,DOROTHEA,20,F,2858475671,11039 Pond House Pkwy.,SAN FRANCISCO,CA,94155,250PRE25,250 Minute Prepaid,dshannon
900000019,EVANS,IGNACIO,39,M,4389126856,2707 Landvale Hwy.,CHICAGO,IL,60634,5503L60,550 Minute Family,ievans
900000020,HENRY,ANTONIA,69,F,3965976567,2393 HIll Pkwy.,READING,PA,19612,900POST60,900 Minute,ahenry
900000021,LE,OLLIE,19,F,3094252265,7904 Crimson Dr.,WASHINGTON,DC,20244,ULPRE50,Unlimited Prepaid,ole
900000022,MENDEZ,CAROLINA,33,F,9555927210,17360 East Forks Pkwy.,HOUSTON,TX,77203,2100POST5L110,2100 Minute Family,cmendez
900000023,NIEVES,VERONICA,34,F,9745327085,10196 Burnquist St.,LOUISVILLE,KY,40231,900POST60,900 Minute,vnieves
900000024,FISHER,MORRIS,25,M,7754793164,14943 South Central Ln.,BOZEMAN,MT,59717,700POST5L70,700 Minute Family,mfisher
900000025,MORIN,RODRIGO,44,M,5216723923,11189 Wasno St.,CHICAGO,IL,60664,250PRE25,250 Minute Prepaid,rmorin
900000026,LANE,ROSETTA,51,F,5505804207,2107 Mellwood Ln.,RALEIGH,NC,27697,450POST40,450 Minute,rlane
900000027,CHANDLER,RACHELLE,34,F,6383749219,637 Romley Way,SAINT LOUIS,MO,63119,450POST40,450 Minute,rchandler
900000028,WALSH,HARRIET,37,F,3504347804,9011 Gerino St.,EL PASO,TX,88573,ULPRE2D,Unlimited Prepaid,hwalsh
900000029,LUCAS,ADA,22,F,5586373201,3898 W Mulloy St.,READING,PA,19605,2100POST5L110,2100 Minute Family,alucas
900000030,PEREZ,MOSES,53,M,5069208008,9138 Sunnylea Dr.,STOCKTON,CA,95201,2100POST5L110,2100 Minute Family,mperez
900000031,BOYD,TERRELL,58,M,7595123255,13906 Wheel House Dr.,WASHINGTON,DC,20207,ULPRE50,Unlimited Prepaid,tboyd
900000032,BOYLE,FREDRIC,31,M,5970228621,12010 Heathview St.,BROOKLYN,NY,11232,450POST40,450 Minute,fboyle
900000033,WOODS,BRIDGET,56,F,7584449112,7114 Gannett St.,DAVENPORT,IA,52806,ULPRE50,Unlimited Prepaid,bwoods
900000034,MORRIS,KELLI,63,F,7395347257,4480 Fitzwarren Pkwy.,NEWPORT NEWS,VA,23605,450POST40,450 Minute,kmorris
900000035,LESTER,ALBERT,63,M,9562620503,5770 Mattapony Blvd.,WASHINGTON,DC,20372,700POST5L70,700 Minute Family,alester
900000036,HULL,MARLIN,45,M,9175194370,19574 W Barry Pkwy.,BAKERSFIELD,CA,93301,5503L60,550 Minute Family,mhull
900000037,PEREZ,MARLIN,27,M,5032124810,12103 Highland Ridge Ave.,NEW YORK,NY,10003,900POST60,900 Minute,mperez
900000038,ROBLES,KIETH,45,M,2783087568,19500 Ormesby Dr.,ATLANTA,GA,30321,700POST5L70,700 Minute Family,krobles
900000039,SUMMERS,JARED,67,M,9194956932,16542 Bleck Dr.,LOS ANGELES,CA,90065,450POST40,450 Minute,jsummers
900000040,LIVINGSTON,GARY,64,M,6990528853,12271 Duchaine Ave.,MELBOURNE,FL,32902,ULPRE50,Unlimited Prepaid,glivingston
900000041,CORTEZ,ROGELIO,34,M,7989423707,14664 Harroway St.,ATHENS,GA,30605,ULPRE50,Unlimited Prepaid,rcortez
900000042,CRAIG,LYNNE,43,F,9783009091,12998 McKanna Pkwy.,DENVER,CO,80221,250PRE25,250 Minute Prepaid,lcraig
900000043,FOX,WILFRED,52,M,4596945713,7311 Seat Pleasant St.,BALTIMORE,MD,21268,700POST5L70,700 Minute Family,wfox
900000044,KERR,RODGER,48,M,2675498917,6495 Kearney Dr.,JEFFERSON CITY,MO,65108,900POST60,900 Minute,rkerr
900000045,LEBLANC,MILES,55,M,2714247010,10755 Bryant Pkwy.,VALLEY FORGE,PA,19484,2100POST5L110,2100 Minute Family,mleblanc
900000046,MACDONALD,CECELIA,36,F,8967815379,4898 Washington Brice Pkwy.,ATLANTA,GA,31191,450POST40,450 Minute,cmacdonald
900000047,FINCH,GERARDO,32,M,6679553544,14887 Hidden Springs Dr.,NEWPORT BEACH,CA,92659,450POST40,450 Minute,gfinch
900000048,HIGGINS,NICKOLAS,33,M,5566068866,5028 Barrow Green Dr.,SAN DIEGO,CA,92161,250PRE25,250 Minute Prepaid,nhiggins
900000049,CONWAY,KENDALL,32,M,5957295027,17803 Bodega Way,SYRACUSE,NY,13207,700POST5L70,700 Minute Family,kconway
900000050,OSBORNE,FELIX,54,M,2489257422,11790 Sandelwood Way,CHARLESTON,WV,25361,ULPOST5L120,2100 Minute Family,fosborne
900000051,WALKER,ROB,34,M,7692884950,16613 East Canyon Pkwy.,ALBANY,NY,12245,900POST60,900 Minute,rwalker
900000052,CARDENAS,NANCY,63,F,7653704115,558 Cariann Dr.,MURFREESBORO,TN,37129,ULPOST5L120,2100 Minute Family,ncardenas
900000053,DANIELS,AHMAD,62,M,4933685433,13691 Rheam Ln.,INDIANAPOLIS,IN,46255,250PRE25,250 Minute Prepaid,adaniels
900000054,JORDAN,RACHAEL,38,F,6397245168,10966 N Wilson Pkwy.,PASADENA,TX,77502,700POST5L70,700 Minute Family,rjordan
900000055,HATFIELD,TY,19,M,2383267013,3597 Norton Heath St.,CHARLESTON,WV,25365,ULPRE50,Unlimited Prepaid,thatfield
900000056,WORKMAN,WILLA,46,F,6904015105,1184 St Matthew St.,PEORIA,IL,61604,5503L60,550 Minute Family,wworkman
900000057,MILLS,PHIL,64,M,4836274385,18828 East Coast Dr.,LOS ANGELES,CA,90080,250PRE25,250 Minute Prepaid,pmills
900000058,HAYNES,JONI,37,F,2698248333,12652 Michaels St.,GAINESVILLE,FL,32605,450POST40,450 Minute,jhaynes
900000059,OLSEN,BYRON,34,M,3907893238,9671 Park Nicollet Blvd.,OAKLAND,CA,94649,250PRE25,250 Minute Prepaid,bolsen
900000060,ROBINSON,CARSON,33,M,7509953352,4511 Penderbrooke Pkwy.,SAN JOSE,CA,95111,250PRE25,250 Minute Prepaid,crobinson
900000061,HAYDEN,MARTA,30,F,8785673925,2459 Larentia St.,DES MOINES,IA,50391,900POST60,900 Minute,mhayden
900000062,SAUNDERS,BLAINE,18,M,7445527768,13927 Timbercreek Pkwy.,AUSTIN,TX,78708,700POST5L70,700 Minute Family,bsaunders
900000063,COOK,ROBERTO,33,M,9052519939,17573 Bournemouth St.,PHILADELPHIA,PA,19102,450POST40,450 Minute,rcook
900000064,FOX,ESPERANZA,63,F,2876894620,18737 Weller Blvd.,LEES SUMMIT,MO,64065,250PRE25,250 Minute Prepaid,efox
900000065,BYRD,RUTH,63,F,4647705332,13991 Nomini Dr.,FRESNO,CA,93705,ULPRE50,Unlimited Prepaid,rbyrd
900000066,MCKAY,LOTTIE,63,F,2118927873,8023 Herontye Dr.,LAKEWOOD,WA,98499,ULPRE50,Unlimited Prepaid,lmckay
900000067,PRESTON,LYNN,56,F,9308262041,17916 Stonecrest Way,MESA,AZ,85206,450POST40,450 Minute,lpreston
900000068,MANNING,MORGAN,49,M,8609127399,14727 Butler Dr.,CHARLESTON,WV,25312,ULPOST70,Unlimited,mmanning
900000069,AVILA,HEIDI,48,F,4146628444,16319 Beadlow Ln.,SCHENECTADY,NY,12306,ULPRE50,Unlimited Prepaid,havila
900000070,HUBBARD,LEO,37,M,6637463293,5324 McCarty Ln.,AURORA,IL,60502,1400POST5L90,1400 Minute Family,lhubbard
900000071,GIBSON,AUGUSTINE,53,M,5246799159,10273 N Martine Hwy.,AUSTIN,TX,78731,700POST5L70,700 Minute Family,agibson
900000072,MCLAUGHLIN,SHAWN,35,F,4952112337,12449 Hermon Hill  Chigwell St.,PASADENA,CA,91185,ULPOST5L120,2100 Minute Family,smclaughlin
900000073,TAYLOR,BRANDI,22,F,5547324159,3585 Horizon Ave.,DAYTON,OH,45439,ULPRE50,Unlimited Prepaid,btaylor
900000074,KELLY,LAURIE,67,F,9514699915,1724 Shelleys Way,LAS VEGAS,NV,89179,250PRE25,250 Minute Prepaid,lkelly
900000075,CRUZ,LESSIE,56,F,6764924199,15570 South Charles Dr.,TOPEKA,KS,66619,450POST40,450 Minute,lcruz
900000076,PRINCE,DELBERT,57,M,2583698069,16718 Ness Pkwy.,MIDLAND,MI,48670,ULPOST70,Unlimited,dprince
900000077,STEWART,MERRILL,22,M,3616393732,5418 Maryvale Ln.,BILLINGS,MT,59108,700POST5L70,700 Minute Family,mstewart
900000078,COLLIER,ETHEL,55,F,2109573391,11530 Julianne Way,OAKLAND,CA,94649,250PRE25,250 Minute Prepaid,ecollier
900000079,REED,ROMAN,45,M,7848467117,3427 S Holly Dr.,NORFOLK,VA,23501,900POST60,900 Minute,rreed
900000080,GILES,ABIGAIL,69,F,7444323423,17912 Vicar Park St.,TUCSON,AZ,85757,1400POST5L90,1400 Minute Family,agiles
900000081,HARRINGTON,REFUGIO,50,M,6544922564,11918 W Glenbarr St.,CLEVELAND,OH,44188,ULPOST5L120,2100 Minute Family,rharrington
900000082,EWING,DIANNE,31,F,2518295097,6636 Gaslight St.,CHICAGO,IL,60651,ULPRE50,Unlimited Prepaid,dewing
900000083,SOTO,RUPERT,36,M,8072325437,13877 West Cutting Blvd.,BLOOMINGTON,IL,61799,700POST5L70,700 Minute Family,rsoto
900000084,NICHOLSON,MELINDA,67,F,9945569593,6961 Laud Honm St.,LEXINGTON,KY,40579,ULPRE2D,Unlimited Prepaid,mnicholson
900000085,UNDERWOOD,HANS,21,M,6489658299,11520 Jada Dr.,WASHINGTON,DC,20036,900POST60,900 Minute,hunderwood
900000086,CAMPOS,PAIGE,44,F,8386315532,16976 Split Creek Ave.,CORONA,CA,92882,900POST60,900 Minute,pcampos
900000087,BRADFORD,ROSETTA,40,F,9653263232,6089 Wine Way,NEW YORK,NY,10157,700POST5L70,700 Minute Family,rbradford
900000088,BECKER,FEDERICO,65,M,5176896350,1386 Sacremento Dr.,WICHITA,KS,67210,ULPOST70,Unlimited,fbecker
900000089,ROWE,ALISHA,19,F,7576778603,4947 Worlds End Hwy.,ORLANDO,FL,32854,700POST5L70,700 Minute Family,arowe
900000090,OSBORN,BILLIE,46,M,8273715217,16351 West Lawton Pkwy.,NEW YORK,NY,10256,ULPRE50,Unlimited Prepaid,bosborn
900000091,KOCH,CARISSA,46,F,7449878253,3414 Silver Moon Blvd.,HOUSTON,TX,77077,ULPOST5L120,2100 Minute Family,ckoch
900000092,WILDER,JULIUS,35,M,7861226284,5702 Deane Croft Ave.,TACOMA,WA,98419,700POST5L70,700 Minute Family,jwilder
900000093,ARMSTRONG,JESUS,28,M,2655552793,15077 Fisk Mill St.,SACRAMENTO,CA,94269,700POST5L70,700 Minute Family,jarmstrong
900000094,TATE,FOREST,35,M,7546794461,1681 Cristy Blvd.,DENVER,CO,80251,5503L60,550 Minute Family,ftate
900000095,PATEL,ISSAC,19,M,9852673957,16576 Streitz St.,RALEIGH,NC,27606,2100POST5L110,2100 Minute Family,ipatel
900000096,NIXON,DESMOND,47,M,5888146004,15555 Thrimley Ave.,EL PASO,TX,88585,900POST60,900 Minute,dnixon
900000097,VAUGHAN,ROGELIO,70,M,4065297599,9569 Pray St.,SAINT LOUIS,MO,63199,250PRE25,250 Minute Prepaid,rvaughan
900000098,MCDANIEL,THOMAS,24,M,6053649661,14825 Raap Ln.,LINCOLN,NE,68506,250PRE25,250 Minute Prepaid,tmcdaniel
900000099,FARLEY,SUSAN,65,F,4402714709,6172 Hunston Ln.,MILWAUKEE,WI,53293,ULPRE50,Unlimited Prepaid,sfarley
900000100,HOOVER,BRAIN,27,M,5637929054,12685 John Miller Way,DALLAS,TX,75225,2100POST5L110,2100 Minute Family,bhoover
900000101,CHANG,VONDA,21,F,9479146892,10781 Aquino Blvd.,BATON ROUGE,LA,70835,250PRE25,250 Minute Prepaid,vchang
900000102,HAMMOND,ARLENE,36,F,9507888550,18666 Label St.,PHILADELPHIA,PA,19114,1400POST5L90,1400 Minute Family,ahammond
900000103,WALL,ADAM,21,M,4994196558,16298 Quinnhill Dr.,LOS ANGELES,CA,90102,250PRE25,250 Minute Prepaid,awall
900000104,HINTON,CHERI,53,F,9717275014,266 Damen Ave.,YOUNG AMERICA,MN,55394,ULPRE2D,Unlimited Prepaid,chinton
900000105,MAXWELL,JAYNE,65,F,7732517043,5188 Ashington Ave.,MACON,GA,31206,ULPRE50,Unlimited Prepaid,jmaxwell
900000106,COLON,ZACHARY,36,M,7389527621,15487 Jim Veal Dr.,RICHMOND,VA,23232,700POST5L70,700 Minute Family,zcolon
900000107,SARGENT,FAUSTINO,18,M,2437896307,81 S Centurion Pkwy.,SALEM,OR,97311,900POST60,900 Minute,fsargent
900000108,GUTIERREZ,ELBA,65,F,5339024603,12942 Hilaire Ave.,READING,PA,19605,5503L60,550 Minute Family,egutierrez
900000109,GREGORY,ISIDRO,64,M,2463787207,17104 Gold Course Ln.,CINCINNATI,OH,45203,1400POST5L90,1400 Minute Family,igregory
900000110,SHANNON,OTTO,43,M,5598992744,302 Squirrel Hollow Dr.,WASHINGTON,DC,20444,450POST40,450 Minute,oshannon
900000254,WILLIAM,ETTA,68,F,2545473319,9299 River Front St.,GAITHERSBURG,MD,20882,900POST60,900 Minute,ewilliam
900000112,WHITE,CAMILLE,45,F,8412076491,9662 Shawn Leigh Way,DES MOINES,IA,50313,450POST40,450 Minute,cwhite
900000113,GRIFFIN,DIANNA,35,F,5287919856,16115 Prunedale Ave.,CHICAGO,IL,60666,ULPRE50,Unlimited Prepaid,dgriffin
900000114,GALLOWAY,ALEJANDRA,64,F,8849123858,11693 Cross Catherine Blvd.,LOS ANGELES,CA,90004,2100POST5L110,2100 Minute Family,agalloway
900000115,PAYNE,DAWN,21,F,4207448776,11156 S Hobble Bush St.,KISSIMMEE,FL,34747,ULPRE50,Unlimited Prepaid,dpayne
900000116,GALLAGHER,VALERIA,42,F,6816417935,2991 Vista Gardens Dr.,ALBUQUERQUE,NM,87104,250PRE25,250 Minute Prepaid,vgallagher
900000117,HARRISON,EMILY,41,F,6767795939,2837 Old Samuel Ln.,JACKSONVILLE,FL,32211,700POST5L70,700 Minute Family,eharrison
900000118,PAYNE,CHARLES,61,M,9663025797,7645 De Normandie Ln.,SILVER SPRING,MD,20918,900POST60,900 Minute,cpayne
900000119,GRANT,MONTE,29,M,8404363744,11161 Tacketts Mill Dr.,FORT PIERCE,FL,34979,700POST5L70,700 Minute Family,mgrant
900000120,DECKER,JORDAN,41,F,5274709621,18644 Berta Canyon Dr.,DALLAS,TX,75265,2100POST5L110,2100 Minute Family,jdecker
900000121,HARRINGTON,TAYLOR,49,F,9388648144,7158 Bangor St.,NEW YORK,NY,10174,ULPRE50,Unlimited Prepaid,tharrington
900000122,MERRITT,LOTTIE,65,F,5504495084,17923 Lightburn Ln.,SAN ANTONIO,TX,78295,250PRE25,250 Minute Prepaid,lmerritt
900000123,ARNOLD,DUANE,46,M,3319299958,13901 Coral St.,PITTSBURGH,PA,15236,ULPRE2D,Unlimited Prepaid,darnold
900000124,FREDERICK,ESTHER,69,F,6356769295,5269 Fontenoy Ave.,VALLEY FORGE,PA,19494,ULPOST70,Unlimited,efrederick
900000125,YANG,WILLIE,23,M,9972649303,8411 Bovey Ln.,MUNCIE,IN,47307,700POST5L70,700 Minute Family,wyang
900000126,HUNT,MOISES,62,M,9085123333,17989 Sacombs Ash St.,SIMI VALLEY,CA,93094,ULPRE50,Unlimited Prepaid,mhunt
900000127,CLAYTON,MARYLOU,70,F,3837707681,16526 Saxonia Pkwy.,TAMPA,FL,33651,ULPRE50,Unlimited Prepaid,mclayton
900000128,MONROE,ESTELLE,54,F,6195578403,7030 Carrisa St.,SAN JOSE,CA,95159,250PRE25,250 Minute Prepaid,emonroe
900000129,SPENCER,LACY,21,F,3132134043,11034 Rancho Caballo Ave.,PORTLAND,ME,4102,ULPRE2D,Unlimited Prepaid,lspencer
900000130,RUIZ,RHEA,70,F,2438087173,17846 Ferrier Blvd.,EL PASO,TX,88533,900POST60,900 Minute,rruiz
900000131,HUTCHINSON,ROCKY,31,M,6599868623,333 Broken Twig St.,FORT LAUDERDALE,FL,33328,ULPOST5L120,2100 Minute Family,rhutchinson
900000132,BERRY,KENYA,31,F,6942464026,12850 Glenwix Ln.,SCOTTSDALE,AZ,85254,700POST5L70,700 Minute Family,kberry
900000133,GILLIAM,NUMBERS,38,M,9584348920,11833 Buens Ave.,WICHITA,KS,67275,250PRE25,250 Minute Prepaid,ngilliam
900000134,TUCKER,ELMER,35,M,5142027901,774 Ambrose St.,SAN ANTONIO,TX,78294,5503L60,550 Minute Family,etucker
900000135,LLOYD,LOU,70,F,4542986515,11805 East Bianchi Hwy.,NEWPORT NEWS,VA,23608,5503L60,550 Minute Family,llloyd
900000136,LE,MITZI,21,F,2289827261,14714 Whelden St.,SAN ANGELO,TX,76904,700POST5L70,700 Minute Family,mle
900000137,SNIDER,MARCELINO,64,M,9356976067,7319 Thurlow Park Ave.,TUCSON,AZ,85708,ULPRE50,Unlimited Prepaid,msnider
900000138,PHELPS,MARIANA,40,F,7782184771,14068 W Rumsey Blvd.,ATLANTA,GA,30392,ULPRE50,Unlimited Prepaid,mphelps
900000139,ZIMMERMAN,CHARMAINE,41,F,9935346401,14654 Whiteley Croft Blvd.,SYRACUSE,NY,13211,ULPRE50,Unlimited Prepaid,czimmerman
900000140,BROWN,PHOEBE,21,F,7599909544,13185 Harkin Ln.,BOCA RATON,FL,33429,5503L60,550 Minute Family,pbrown
900000141,STOKES,JEANNETTE,21,F,9194285713,9755 Swan Creek St.,MANCHESTER,NH,3105,ULPRE50,Unlimited Prepaid,jstokes
900000142,HUNT,ROSA,26,F,8179815503,5418 Harker Dr.,NEW YORK,NY,10037,700POST5L70,700 Minute Family,rhunt
900000143,HOUSE,BEAU,20,M,9358289314,12302 East Sutton Way,SAINT LOUIS,MO,63119,900POST60,900 Minute,bhouse
900000144,FLOYD,CORA,51,F,8755898933,14957 Silverwater St.,DETROIT,MI,48223,ULPRE50,Unlimited Prepaid,cfloyd
900000145,FARLEY,LIZZIE,49,F,3964266616,10666 Burhill Blvd.,SCHENECTADY,NY,12305,ULPRE50,Unlimited Prepaid,lfarley
900000146,BUCKNER,CORA,21,F,2637128268,17491 Fire Barn Ave.,STOCKTON,CA,95201,ULPRE50,Unlimited Prepaid,cbuckner
900000147,SHEPHERD,MONTE,30,M,6887123380,1763 Monnow Blvd.,DALLAS,TX,75320,450POST40,450 Minute,mshepherd
900000148,TATE,BRITTNEY,27,F,2272527949,13725 Marcey Way,COLUMBUS,OH,43223,450POST40,450 Minute,btate
900000149,BAKER,BRIGITTE,68,F,5966207316,9452 Paladin St.,NORMAN,OK,73072,450POST40,450 Minute,bbaker
900000150,WATSON,MITCH,50,M,3337805823,365 Brigantine St.,KNOXVILLE,TN,37922,ULPRE50,Unlimited Prepaid,mwatson
900000151,CARSON,EDMUND,47,M,2885756376,7143 Glamis Dr.,KANSAS CITY,MO,64163,5503L60,550 Minute Family,ecarson
900000152,WILDER,CARLA,30,F,4392273413,2578 Pendennis Ave.,SAN FRANCISCO,CA,94158,1400POST5L90,1400 Minute Family,cwilder
900000153,DANIEL,FREDDIE,56,M,9863028355,4912 Kollum Dr.,MEMPHIS,TN,38136,900POST60,900 Minute,fdaniel
900000154,BOWMAN,ROYAL,48,M,8743496532,9601 Allied Pkwy.,SAN ANTONIO,TX,78298,900POST60,900 Minute,rbowman
900000155,CORTEZ,PASQUALE,51,M,3668553088,18886 Bruce Castle Way,OKLAHOMA CITY,OK,73131,450POST40,450 Minute,pcortez
900000156,HARRINGTON,ELDON,29,M,6995043510,1953 Ard Hwy.,HARRISBURG,PA,17103,700POST5L70,700 Minute Family,eharrington
900000157,ACOSTA,REYNA,67,F,5107125946,2206 N Sayre Ln.,WASHINGTON,DC,20068,250PRE25,250 Minute Prepaid,racosta
900000158,HOLDEN,BURT,58,M,5595724003,3511 Turra St.,INDIANAPOLIS,IN,46242,5503L60,550 Minute Family,bholden
900000159,MCDOWELL,LUCIEN,56,M,6835466031,15388 Thorold St.,SAN DIEGO,CA,92128,250PRE25,250 Minute Prepaid,lmcdowell
900000160,EMERSON,ANNMARIE,40,F,4166164533,12356 Byran St.,PITTSBURGH,PA,15219,ULPRE50,Unlimited Prepaid,aemerson
900000161,HERNANDEZ,JANIS,36,F,3549529563,2530 S Liverpool St.,READING,PA,19608,700POST5L70,700 Minute Family,jhernandez
900000162,CLEMENTS,GENEVIEVE,56,F,2197528606,13055 Melsa Way,CARSON CITY,NV,89721,ULPRE2D,Unlimited Prepaid,gclements
900000163,WILKINSON,ELLIOT,67,M,4105283165,2339 Liberty Oak Ave.,COLUMBUS,OH,43260,ULPRE50,Unlimited Prepaid,ewilkinson
900000164,MCCORMICK,NEIL,38,M,7506958863,16379 Portrero Dr.,ANAHEIM,CA,92814,250PRE25,250 Minute Prepaid,nmccormick
900000165,CONRAD,ELLA,48,F,5168807861,3735 Trinity Way,HARRISBURG,PA,17120,900POST60,900 Minute,econrad
900000166,STANTON,SHELIA,62,F,5642546649,15557 St Michaels Hwy.,KANSAS CITY,KS,66115,2100POST5L110,2100 Minute Family,sstanton
900000167,PADILLA,IRENE,62,F,5987569894,14062 Woody Creek Dr.,CLEVELAND,OH,44112,900POST60,900 Minute,ipadilla
900000168,MARQUEZ,ROBERT,19,F,2938748695,7188 Clayfarm Dr.,FAYETTEVILLE,NC,28301,700POST5L70,700 Minute Family,rmarquez
900000169,MCFADDEN,TONIA,33,F,9009086516,18675 Kiltie Ln.,LAKE CHARLES,LA,70602,ULPRE50,Unlimited Prepaid,tmcfadden
900000170,BURCH,ETTA,60,F,9106309046,12931 South Pine Way,FLUSHING,NY,11358,900POST60,900 Minute,eburch
900000171,RYAN,DWAYNE,63,M,4573968632,13539 Spiro Ave.,WASHINGTON,DC,20441,5503L60,550 Minute Family,dryan
900000172,SANDERS,RICKEY,64,M,7878345321,16289 Mulkern Hwy.,SAN FRANCISCO,CA,94150,700POST5L70,700 Minute Family,rsanders
900000173,LOWE,APRIL,28,F,4979918051,3554 S Franklin Ln.,SAN JOSE,CA,95170,250PRE25,250 Minute Prepaid,alowe
900000174,HAHN,MYRNA,53,F,7665187791,7854 Flagler Pkwy.,CINCINNATI,OH,45268,ULPOST5L120,2100 Minute Family,mhahn
900000175,CHRISTIAN,CATHY,34,F,4418344936,5007 Old Graham Hill St.,DURHAM,NC,27715,900POST60,900 Minute,cchristian
900000176,PRUITT,HARLAN,68,M,5553946344,6078 Wambool St.,SACRAMENTO,CA,95820,2100POST5L110,2100 Minute Family,hpruitt
900000177,MEADOWS,PERRY,52,M,4379417090,7450 Dawley Ln.,CINCINNATI,OH,45212,250PRE25,250 Minute Prepaid,pmeadows
900000178,COOK,HILLARY,30,F,2517795153,2644 Maysent Hwy.,POCATELLO,ID,83201,2100POST5L110,2100 Minute Family,hcook
900000179,FOREMAN,HAROLD,21,M,9739272782,7517 E Market St.,SACRAMENTO,CA,94277,ULPRE50,Unlimited Prepaid,hforeman
900000180,MAYS,TOMMIE,57,F,2705877289,516 Magnolia Blossom Blvd.,FORT LAUDERDALE,FL,33306,250PRE25,250 Minute Prepaid,tmays
900000181,SPENCER,CARLOS,40,M,4152025738,570 Crossgate Ln.,SAN DIEGO,CA,92132,700POST5L70,700 Minute Family,cspencer
900000182,STANLEY,BARBRA,31,F,7087954550,12132 Rose Cottage St.,LEXINGTON,KY,40516,250PRE25,250 Minute Prepaid,bstanley
900000183,DODSON,MARLA,39,F,6039704490,15219 Macquarie Pkwy.,ALEXANDRIA,VA,22302,700POST5L70,700 Minute Family,mdodson
900000184,DUNN,MARY,46,M,6450122013,14825 Tanzanite Way,HONOLULU,HI,96811,700POST5L70,700 Minute Family,mdunn
900000185,BRIGGS,MARCOS,32,M,5047094648,417 Stourcliffe St.,LITTLETON,CO,80120,450POST40,450 Minute,mbriggs
900000186,BAUER,DOMINIQUE,29,M,2152524870,1495 Freathy Ln.,CLEVELAND,OH,44194,ULPOST70,Unlimited,dbauer
900000187,JOYCE,VERONICA,19,F,5503703814,379 E A Blvd.,NEWARK,NJ,7102,1400POST5L90,1400 Minute Family,vjoyce
900000188,JAMES,DANIEL,23,M,8608859317,5695 Town Mead Ave.,OKLAHOMA CITY,OK,73164,900POST60,900 Minute,djames
900000189,HALE,EDWIN,38,M,4576228088,281 Magazine Pkwy.,DES MOINES,IA,50347,700POST5L70,700 Minute Family,ehale
900000190,NASH,ALEXANDRIA,45,F,9496388877,18310 Boehm Dr.,TAMPA,FL,33635,700POST5L70,700 Minute Family,anash
900000191,CONLEY,WILLIAM,50,M,5792762343,7969 Bouquet Blvd.,LAREDO,TX,78044,250PRE25,250 Minute Prepaid,wconley
900000192,COHEN,CLAUDIA,22,F,8637625849,19684 W Clover Dr.,PITTSBURGH,PA,15218,ULPOST5L120,2100 Minute Family,ccohen
